model,scenario,trial,success,turn,G,C,D,S,O,E,corruption
claude,S5,1,1,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
claude,S5,1,1,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
claude,S5,1,1,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
claude,S5,1,1,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
claude,S5,1,1,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
claude,S5,1,1,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
claude,S5,1,1,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
claude,S5,1,1,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
claude,S5,1,1,8,0.0,95.0274,70.4853,0.0,76.8878,96.1768,0.0
claude,S5,2,1,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
claude,S5,2,1,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
claude,S5,2,1,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
claude,S5,2,1,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
claude,S5,2,1,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
claude,S5,2,1,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
claude,S5,2,1,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
claude,S5,2,1,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
claude,S5,2,1,8,0.0,95.0274,70.4853,0.0,76.8878,96.1768,0.0
claude,S5,3,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
claude,S5,3,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
claude,S5,3,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
claude,S5,3,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
claude,S5,3,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
claude,S5,3,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
claude,S5,3,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
claude,S5,3,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
claude,S5,3,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
claude,S5,4,1,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
claude,S5,4,1,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
claude,S5,4,1,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
claude,S5,4,1,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
claude,S5,4,1,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
claude,S5,4,1,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
claude,S5,4,1,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
claude,S5,4,1,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
claude,S5,4,1,8,0.0,95.0274,70.4853,0.0,76.8878,96.1768,0.0
claude,S5,5,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
claude,S5,5,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
claude,S5,5,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
claude,S5,5,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
claude,S5,5,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
claude,S5,5,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
claude,S5,5,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
claude,S5,5,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
claude,S5,5,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
claude,S5,6,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
claude,S5,6,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
claude,S5,6,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
claude,S5,6,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
claude,S5,6,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
claude,S5,6,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
claude,S5,6,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
claude,S5,6,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
claude,S5,6,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
claude,S5,7,1,0,38.9,59.5,43.5,45.0,34.2,38.9,0.0
claude,S5,7,1,1,29.74,66.29,40.535,39.26,44.16,34.865,0.0
claude,S5,8,0,0,38.9,59.5,43.5,45.0,34.2,38.9,0.0
claude,S5,8,0,1,29.74,66.29,40.535,39.26,44.16,34.865,0.0
claude,S5,8,0,2,20.4877,71.701,40.6962,32.7077,51.587,36.4133,0.0
claude,S5,8,0,3,10.9811,74.9918,40.5349,24.9238,56.7744,41.0314,0.0
claude,S5,8,0,4,0.6981,78.8993,44.8684,16.0268,61.8012,50.7812,0.0
claude,S5,8,0,5,0.0,83.3243,51.8639,6.9902,66.9728,65.093,0.0
claude,S5,8,0,6,0.0,89.9376,61.727,0.0,72.7935,82.2335,0.0
claude,S5,8,0,7,0.0,98.0899,72.1851,0.0,79.4712,100.0,0.0
claude,S5,8,0,8,0.0,100.0,87.1663,0.0,89.7505,100.0,0.0
claude,S5,9,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
claude,S5,9,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
claude,S5,9,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
claude,S5,9,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
claude,S5,9,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
claude,S5,9,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
claude,S5,9,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
claude,S5,9,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
claude,S5,9,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
claude,S5,10,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
claude,S5,10,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
claude,S5,10,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
claude,S5,10,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
claude,S5,10,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
claude,S5,10,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
claude,S5,10,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
claude,S5,10,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
claude,S5,10,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
claude,S5,11,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
claude,S5,11,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
claude,S5,11,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
claude,S5,11,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
claude,S5,11,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
claude,S5,11,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
claude,S5,11,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
claude,S5,11,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
claude,S5,11,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
claude,S5,12,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
claude,S5,12,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
claude,S5,12,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
claude,S5,12,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
claude,S5,12,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
claude,S5,12,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
claude,S5,12,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
claude,S5,12,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
claude,S5,12,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
claude,S5,13,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
claude,S5,13,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
claude,S5,13,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
claude,S5,13,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
claude,S5,13,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
claude,S5,13,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
claude,S5,13,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
claude,S5,13,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
claude,S5,13,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
claude,S5,14,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
claude,S5,14,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
claude,S5,14,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
claude,S5,14,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
claude,S5,14,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
claude,S5,14,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
claude,S5,14,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
claude,S5,14,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
claude,S5,14,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
claude,S5,15,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
claude,S5,15,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
claude,S5,15,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
claude,S5,15,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
claude,S5,15,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
claude,S5,15,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
claude,S5,15,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
claude,S5,15,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
claude,S5,15,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
claude,S5,16,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
claude,S5,16,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
claude,S5,16,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
claude,S5,16,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
claude,S5,16,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
claude,S5,16,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
claude,S5,16,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
claude,S5,16,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
claude,S5,16,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
claude,S5,17,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
claude,S5,17,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
claude,S5,17,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
claude,S5,17,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
claude,S5,17,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
claude,S5,17,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
claude,S5,17,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
claude,S5,17,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
claude,S5,17,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
claude,S5,18,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
claude,S5,18,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
claude,S5,18,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
claude,S5,18,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
claude,S5,18,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
claude,S5,18,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
claude,S5,18,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
