model,scenario,trial,success,turn,G,C,D,S,O,E,corruption
claude,S9,1,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
claude,S9,1,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
claude,S9,1,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
claude,S9,1,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
claude,S9,1,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
claude,S9,1,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
claude,S9,1,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
claude,S9,1,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
claude,S9,1,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
claude,S9,2,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
claude,S9,2,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
claude,S9,2,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
claude,S9,2,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
claude,S9,2,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
claude,S9,2,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
claude,S9,2,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
claude,S9,2,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
claude,S9,2,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
claude,S9,3,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
claude,S9,3,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
claude,S9,3,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
claude,S9,3,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
claude,S9,3,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
claude,S9,3,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
claude,S9,3,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
claude,S9,3,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
claude,S9,3,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
claude,S9,4,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
claude,S9,4,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
claude,S9,4,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
claude,S9,4,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
claude,S9,4,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
claude,S9,4,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
claude,S9,4,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
claude,S9,4,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
claude,S9,4,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
claude,S9,5,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
claude,S9,5,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
claude,S9,5,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
claude,S9,5,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
claude,S9,5,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
claude,S9,5,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
claude,S9,5,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
claude,S9,5,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
claude,S9,5,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
claude,S9,6,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
claude,S9,6,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
claude,S9,6,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
claude,S9,6,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
claude,S9,6,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
claude,S9,6,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
claude,S9,6,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
claude,S9,6,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
claude,S9,6,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
claude,S9,7,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
claude,S9,7,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
claude,S9,7,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
claude,S9,7,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
claude,S9,7,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
claude,S9,7,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
claude,S9,7,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
claude,S9,7,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
claude,S9,7,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
claude,S9,8,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
claude,S9,8,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
claude,S9,8,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
claude,S9,8,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
claude,S9,8,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
claude,S9,8,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
claude,S9,8,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
claude,S9,8,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
claude,S9,8,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
claude,S9,9,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
claude,S9,9,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
claude,S9,9,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
claude,S9,9,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
claude,S9,9,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
claude,S9,9,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
claude,S9,9,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
claude,S9,9,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
claude,S9,9,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
claude,S9,10,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
claude,S9,10,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
claude,S9,10,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
claude,S9,10,0,3,18.4039,69.8052,32.302,28.9119,52.8289,31.3205,0.0
claude,S9,10,0,4,11.4044,72.437,34.4973,22.4694,56.5607,36.9427,0.0
claude,S9,10,0,5,2.0452,75.5873,39.2329,14.9612,60.2685,46.1853,0.0
claude,S9,10,0,6,0.0,79.8204,47.12,7.366,64.703,59.9839,0.0
claude,S9,10,0,7,0.0,85.7987,56.7959,0.0,69.9176,76.2894,0.0
claude,S9,10,0,8,0.0,93.7774,67.9853,0.0,76.1378,94.6768,0.0
claude,S9,11,0,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
claude,S9,11,0,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
claude,S9,11,0,2,25.5728,67.066,32.6275,34.5646,48.4201,29.3307,0.0
